id,ru,en,info
1102,"c, со","with, from, off
1) from the concert
2) with Anna
3) from morning","1) + р.п. откуда? — с конце́рта
2) + т.п. с кем? с чем? — с А́нной
3) + р.п. когда? — с утра́"
4282,а,"and, but",
4283,абза́ц,paragraph,
4284,абрико́с,apricot,
4285,абсолю́тный,total; absolutely,"(-ая, -ое, -ые); абсолю́тно"
4286,абстра́ктный,abstract; abstractedly,"(-ая, -ое, -ые); абстра́ктно"
4287,абсу́рд,absurdity,
4288,абсу́рдный,absurd,"(-ая, -ое, -ые)"
4289,ава́рия,"accident, crash",
4290,а́вгуст,August,
4291,автобиогра́фия,autobiography,
4292,авто́бус,bus,
4293,авто́бусный,bus-,"(-ая, -ое, -ые)"
4294,автомоби́ль,car,
4295,автоно́мный,autonomous,"(-ая, -ое, -ые)"
4296,автоотве́тчик,automatic responding machine,
4297,а́втор,author,
4298,авторите́т,authority,
4299,аге́нт,agent,
4300,аге́нтство,agency,
4301,агресси́вный,aggressive; aggressively,"(-ая, -ое, -ые); агресси́вно"
4302,адапти́роваться,to adapt,"(адапти́руюсь, адапти́руешься) нсв I и св I"
4303,адвока́т,lawyer,
4304,адеква́тный,adequate; adequately,"(-ая, -ое, -ые); адеква́тно"
4305,администрати́вный,administrative,"(-ая, -ое, -ые)"
4306,администра́тор,administrator,
4307,администра́ция,administration,
4308,а́дрес,"address — postal address, e-mail","почто́вый а́дрес, электро́нный а́дрес"
4309,аза́ртный,"hazardous, excited; recklessly, excitedly","(-ая, -ое, -ые); аза́ртно"
4310,азиа́тский,Asiatic,"(-ая, -ое, -ие)"
4311,акаде́мик,academician,
4312,акаде́мия,academy,
4313,акваре́ль,aquarelle,ж.р.
4314,аккура́тный,accurate; accurately,"(-ая, -ое, -ые); аккура́тно"
4315,акт,"act 
1) act of terror
2) tragedy in 3 acts
3) legislative act","1) террористи́ческий акт
2) траге́дия в 3 а́ктах
3) законода́тельный акт"
4316,актёр,actor,
4317,акти́вный,active,"(-ая, -ое, -ые)"
4318,актри́са,actress,
4319,актуа́льный,"current, topical; topically","(-ая, -ое, -ые); актуа́льно"
4320,акце́нт,accent,
4321,акционе́рный,"corporate, joint-stock","(-ая, -ое, -ые)"
3842,а́кция,"share, action 
1) shares of a company
2) protest action","1) а́кции предприя́тия
2) а́кция проте́ста"
3843,а́лгебра,algebra,
3844,алкого́ль,alcohol,(только ед.ч.)
3845,аллерги́я,allergy,(только ед.ч.)
3846,алле́я,alley,
3847,Алло́!,Hello!,
3848,алфави́т,alphabet,
3849,альбо́м,album,
3850,альпини́ст,alpinist,
3851,америка́нец,American,сущ. мн.ч. америка́нцы; ж.р. америка́нка; р.п. мн.ч. америка́нок
3852,америка́нский,American,"прил. (-ая, -ое, -ие)"
3853,ана́лиз,analysis,
3854,анализи́ровать,to analyse,"(анализи́рую, анализи́руешь) нсв I — проанализи́ровать (проанализи́рую, проанализи́руешь) св I"
3855,анана́с,pineapple,
3856,анато́мия,anatomy,только ед.ч.
3857,анги́на,angina,
3858,англи́йский,English,"прил. (-ая, -ое, -ие)"
3859,англича́нин,English (he); English (she),сущ.; ж.р. англича́нка; мн.ч. англича́не
3860,а́нгло-русский,"English-Russian (Spanish-Russian, Chinese-Russian, German-Russian, French-Russian) (dictionary)","(ая, -ое, -ие) 
(испа́нско-ру́сский, 
кита́йско-ру́сский, 
неме́цко-ру́сский, 
францу́зско-ру́сский) (слова́рь)"
3861,анекдо́т,"funny story, anecdote",
3862,анке́та,questionnaire,
3863,анса́мбль,ensemble,
3864,анти-,antiantibiotic,"(антивое́нный, антисанита́рный и т. д.)"
3865,антибио́тик,anti-Semitism,
3866,антисемити́зм,antique,только ед.ч.
3867,анти́чный,intermission,"(-ая, -ое, -ые)"
3868,антра́кт,orange,
3869,апельси́н,to applaud,
3870,аплоди́ровать,applause,"(аплоди́рую, аплоди́руешь) нсв I"
3871,аплодисме́нты,"funny story, anecdote",только мн.ч.
3872,аппети́т,appetite; Bon appétit! Enjoy your meal!,Прия́тного аппети́та!
3873,апре́ль,April,
3874,апте́ка,chemist’s,
3875,арбу́з,watermelon,
3876,аргуме́нт,"argument, reason",
3877,аргументи́ровать,"to argue, to give reasons","аргументи́рую, аргументи́руешь нсв I и св I"
3878,аре́нда,"rent, lease",только ед.ч.
3879,арендова́ть,"to rent, to lease","аренду́ю, аренду́ешь нсв I и св I"
3880,аре́ст,arrest,
3881,аресто́вывать,to arrest,"нсв I —  арестова́ть (аресту́ю, аресту́ешь) св I"
3402,а́рмия,army,
3403,арома́т,aroma,
3404,арома́тный,aromatic,"(-ая, -ое, -ые)"
3405,арти́ст,"actor (he), actress (she)",ж.р. арти́стка; р.п. мн.ч. арти́сток
3406,архео́лог,archaeologist,
3407,археоло́гия,archaeology,только ед.ч.
3408,архите́ктор,architect,
3409,архитекту́ра,architecture,только ед.ч.
3410,архитекту́рный,architectural,"(-ая, -ое, -ые)"
3411,аспира́нт,postgraduate student,ж.р. аспира́нтка; р.п. мн.ч. аспира́нток
3412,аспиранту́ра,postgraduate study,
3413,атеи́зм,atheism,только ед.ч.
3414,атле́тика,athletics,только ед.ч.
3415,атмосфе́ра,atmosphere,
3416,а́томный,atomic,"(-ая, -ое, -ые)"
3417,ауди́рование,listening (comprehension),
3418,аудито́рия,lecture-hall,
3419,аукцио́н,auction,
3420,афи́ша,poster,
3421,африка́нец,African,"сущ.; мн.ч. африка́нцы; ж.р. африка́нка, р.п. мн.ч. африка́нок"
3422,африка́нский,African,"прил. (-ая, -ое, -ие)"
3423,аэропо́рт,airport,
3424,ба́бушка,grandmother,р.п. мн.ч. ба́бушек
3425,бага́ж,luggage,только ед.ч.
3426,бадминто́н,badminton,только ед.ч.
3427,ба́за,"base
1) resource base 
2) military base 
3) base camp
4) database","1) материа́льная, техни́ческая ба́за
2) вое́нная ба́за 
3) туристи́ческая ба́за
4) ба́за да́нных"
3428,база́р,"market, bazaar",
3429,бакала́вр,bachelor,
3430,баклажа́н,aubergine,
3431,бал,"ball, dance",
3432,балала́йка,balalaika,р.п. мн.ч. балала́ек
3433,балери́на,ballerina,
3434,бале́т,ballet,
3435,балко́н,balcony,
3436,балл,"mark, point",
3437,балова́ть,to spoil,"(балу́ю, балу́ешь) нсв I — избалова́ть (избалу́ю, избалу́ешь) св I"
3438,балова́ться,to fool (with),"(балу́юсь, балу́ешься) нсв I"
3439,бана́н,banana,
3440,бандеро́ль,post package,ж.р.
3441,банк,bank,
2962,ба́нка,"can, pot",р.п. мн.ч. ба́нок
2963,банке́т,banquet,
2964,банки́р,banker,
2965,банкома́т,cash machine,
2966,банкро́т,bankrupt,
2967,ба́ня,bath-house,
2968,бар,"bar, pub",
2969,бараба́н,drum (musical instrument),
2970,бара́н,ram (male sheep),
2971,бара́нина,mutton,только ед.ч.
2972,бара́нка,baranka (ring-shaped roll),р.п. мн.ч. бара́нок
2973,бас,bass — to sing bass,петь ба́сом
2974,баскетбо́л,basketball,только ед.ч.
2975,баскетболи́ст,basketball player,ж.р. баскетболи́стка; р.п. мн.ч. баскетболи́сток
2976,бассе́йн,swimming pool,
2977,бастова́ть,to be on strike,"(басту́ю, басту́ешь) нсв I"
2978,бато́н,long loaf,
2979,ба́шня,tower,р.п. мн.ч. ба́шен
2980,бе́гать,to run,нсв I
2981,бегу́н,runner,ж.р. бегу́нья; р.п. мн.ч. бегу́ний
2982,беда́,misfortune,
2983,бедне́ть,to become poorer,нсв I — обедне́ть св I
2984,бе́дность,poverty,"ж.р., только ед.ч."
