n,orthographic,broad,narrow
1,ограни́чивать,əɡ.rɐ.ˈnʲi.t͜ɕɪ.vətʲ,
2,нового́дний,nə.vɐ.ˈɡodʲ.nʲɪj,
3,добросо́вестный,dəb.rɐ.ˈso.vʲɪs.nəj,
4,интеллиге́нция,ɪnʲ.tʲɪ.lʲi.ˈɟen.t͡sə.jə,
5,анализи́ровать,ɐ.nə.lʲɪ.ˈzʲi.rə.vətʲ,
6,куда́-нибудь,ku.ˈda.nʲɪ.bʊtʲ,
7,относи́ться,ɐt.nɐ.ˈsʲi.t͡sə,
8,мусоропрово́д,mʊ.sə.rə.prɐ.ˈvot,
9,догова́риваться,də.ɡɐ.ˈva.rʲɪ.və.t͡sə,
10,контраба́нда,kən.trɐ.ˈban.də,
11,загрязне́ние,zəɡ.rʲɐzʲ.ˈnʲe.nʲɪ.jɪ,
12,лаборато́рия,ɫə.bə.rɐ.ˈto.rʲɪ.jə,
13,бесконе́чный,bʲɪs.kɐ.ˈnʲet͡ɕ.nəj,
14,нра́вственный,ˈnraf.stvʲɪn.nəj,
15,шампа́нское,ʂɐm.ˈpans.kə.jɪ,
16,перспекти́вный,pʲɪr.spʲɪk.ˈtʲiv.nəj,
17,приближа́ться,prʲɪ.blʲɪ.ˈʐa.t͡sə,
18,безрабо́тица,bʲɪz.rɐ.ˈbo.tʲɪ.t͡sə,
19,подстрига́ть,pət.strɪ.ˈɡatʲ,
20,по-францу́зски,pə.frɐn.ˈt͡sus.cɪ,
21,возвраща́ть,vəz.vrɐ.ˈɕatʲ,
22,инициати́ва,ɪ.nʲɪ.t͡sɪ.ɐˈtʲi.və,
23,откла́дывать,ɐt.ˈkɫa.də.vetʲ,
24,продолжи́тельность,prə.dɐɫ.ˈʐɨ.tʲɪlʲ.nəsʲtʲ,
25,отку́сывать,ɐt.ˈku.sə.vətʲ,
26,всле́дствие,fsˈlʲet͡st.vɪ.ɪ,
27,сочу́вствовать,sɐ.ˈt͡ɕust.və.vətʲ,
28,интеллиге́нтный,ɪnʲ.tʲɪ.lʲi.ˈɟent.nəj,
29,семна́дцать,sʲɪm.ˈna.t͡sətʲ,
30,промы́шленный,prɐ.ˈmɨʂ.ˈlʲen.nəj,
